plant,split,extremeness,rank
0,train,2.9614,0.8210
1,train,2.2869,0.5238
2,train,1.3752,0.0833
3,test,2.4975,0.6332
4,train,1.7026,0.1996
5,train,1.8325,0.2666
6,train,2.3361,0.5503
7,train,2.9150,0.8060
8,test,3.1957,0.8810
9,test,2.2748,0.5172
10,val,4.7354,0.9922
11,val,2.9349,0.8121
12,train,1.4788,0.1136
13,val,2.5186,0.6442
14,train,1.7315,0.2138
15,train,1.0453,0.0222
16,train,1.5242,0.1301
17,val,2.6662,0.7158
18,test,2.3840,0.5756
19,train,1.1979,0.0431
20,train,2.3084,0.5356
21,val,3.2673,0.8942
22,train,1.1230,0.0311
23,train,0.6820,0.0019
24,train,2.4886,0.6289
25,train,1.7613,0.2302
26,val,2.4903,0.6295
27,train,1.4656,0.1087
28,train,2.0798,0.4037
29,val,3.8078,0.9598
30,test,2.1200,0.4271
31,train,1.3309,0.0721
32,train,2.2934,0.5273
33,train,1.0670,0.0247
34,train,1.7076,0.2028
35,train,1.3886,0.0861
36,train,1.6920,0.1963
37,train,2.5981,0.6854
38,train,1.7862,0.2428
39,train,2.4116,0.5896
40,train,1.4263,0.0961
41,val,2.6764,0.7195
42,train,1.7988,0.2497
43,val,3.3504,0.9082
44,test,3.0427,0.8447
45,train,2.3916,0.5801
46,val,2.2374,0.4981
47,train,2.4731,0.6204
48,train,1.9867,0.3502
49,train,1.9160,0.3122
50,train,2.5669,0.6690
51,train,2.5535,0.6612
52,test,2.3546,0.5606
53,train,3.7150,0.9513
54,test,1.2538,0.0527
55,train,1.9454,0.3286
56,train,2.1710,0.4596
57,train,0.8995,0.0091
58,train,3.8627,0.9638
59,train,1.8888,0.2985
60,test,2.2310,0.4946
61,train,1.3088,0.0663
62,train,1.4367,0.1001
63,test,3.8820,0.9653
64,train,2.6147,0.6930
65,test,2.0816,0.4049
66,train,1.7220,0.2086
67,test,3.0259,0.8396
68,train,2.3474,0.5565
69,train,0.8348,0.0059
70,train,1.7609,0.2301
71,train,1.6178,0.1663
72,val,3.6104,0.9417
73,train,1.7453,0.2207
74,test,3.1664,0.8740
75,test,3.6699,0.9472
76,train,1.3189,0.0692
77,train,2.4136,0.5906
78,train,1.2762,0.0579
79,train,1.8827,0.2953
80,val,2.6440,0.7060
81,train,1.5382,0.1345
82,val,2.3195,0.5422
83,val,3.4158,0.9178
84,val,2.1361,0.4353
85,train,2.3336,0.5488
86,train,0.8141,0.0050
87,val,2.3073,0.5349
88,train,2.4759,0.6218
89,train,1.8479,0.2760
90,train,2.0410,0.3820
91,train,1.3935,0.0871
92,test,2.5969,0.6845
93,test,2.7022,0.7307
94,train,1.8448,0.2736
95,train,2.6222,0.6964
96,train,3.8230,0.9610
97,train,1.8455,0.2739
98,train,1.7508,0.2242
99,train,2.0643,0.3939
100,train,3.1352,0.8663
101,train,2.5960,0.6839
102,train,2.3749,0.5704
103,train,1.8207,0.2603
104,val,2.0563,0.3900
105,val,3.5966,0.9403
106,train,2.0275,0.3738
107,train,1.3628,0.0802
108,test,2.8284,0.7763
109,train,2.7830,0.7604
110,test,2.7037,0.7314
111,train,2.6466,0.7076
112,train,2.5035,0.6366
113,train,2.0773,0.4019
114,train,2.1685,0.4575
115,test,3.4450,0.9220
116,val,3.4620,0.9248
117,train,1.4925,0.1175
118,val,2.5255,0.6468
119,test,3.8681,0.9641
120,train,1.0593,0.0240
121,train,2.4633,0.6159
122,test,2.3819,0.5745
123,train,2.9492,0.8159
124,train,2.0352,0.3788
125,val,3.8165,0.9609
126,train,2.1192,0.4266
127,train,3.5701,0.9379
128,train,1.0863,0.0268
129,train,1.8007,0.2507
130,train,2.8850,0.7953
131,train,2.1466,0.4418
132,train,1.6758,0.1895
133,val,3.5519,0.9361
134,train,1.8230,0.2614
135,train,3.7532,0.9546
136,train,2.5635,0.6668
137,train,1.3196,0.0695
138,train,2.0193,0.3687
139,train,0.9217,0.0102
140,train,1.1071,0.0295
141,train,2.0772,0.4017
142,train,2.7251,0.7391
143,train,2.3614,0.5644
144,train,1.3028,0.0644
145,val,2.9504,0.8164
146,train,1.9360,0.3236
147,train,1.8511,0.2779
148,train,1.9162,0.3123
149,train,2.3305,0.5475
150,test,2.2038,0.4792
151,train,1.6884,0.1945
152,train,2.0731,0.3992
153,train,2.0578,0.3910
154,train,2.8066,0.7685
155,train,2.0975,0.4142
156,train,1.4216,0.0947
157,train,3.6855,0.9484
158,train,1.8689,0.2868
159,train,2.1619,0.4529
160,train,1.7217,0.2084
161,train,1.6552,0.1817
162,train,2.2178,0.4866
163,val,2.3793,0.5729
164,train,2.1358,0.4348
165,train,1.7467,0.2216
166,train,1.8726,0.2883
167,train,1.7931,0.2467
168,train,1.6683,0.1869
169,train,2.3348,0.5494
170,train,2.6521,0.7099
171,train,2.1513,0.4444
172,val,2.4571,0.6130
173,train,2.6306,0.6998
174,test,4.6442,0.9911
175,train,2.5181,0.6440
176,test,3.4447,0.9219
177,train,2.3108,0.5373
178,train,1.2856,0.0604
179,test,2.5930,0.6825
180,train,2.0159,0.3666
181,train,2.4333,0.6013
182,train,3.2676,0.8943
183,train,1.9231,0.3166
184,train,1.9814,0.3474
185,train,1.8321,0.2662
186,train,3.2618,0.8923
187,test,3.3863,0.9141
188,train,1.9744,0.3442
189,train,1.7343,0.2152
190,train,1.2816,0.0591
191,train,2.1234,0.4286
192,test,3.1611,0.8730
193,train,1.8638,0.2846
194,val,2.8628,0.7877
195,val,1.6660,0.1861
196,train,2.3296,0.5472
197,val,2.4417,0.6063
198,val,3.2700,0.8949
199,train,1.1668,0.0384
200,val,3.0417,0.8443
201,train,2.3568,0.5621
202,train,1.7703,0.2357
203,train,3.0761,0.8529
204,train,2.3773,0.5721
205,test,2.6109,0.6906
206,train,1.3728,0.0827
207,train,2.4464,0.6087
208,train,1.8658,0.2858
209,train,2.6949,0.7273
210,train,2.1682,0.4572
211,train,2.6544,0.7111
212,train,1.8646,0.2850
213,train,1.6610,0.1838
214,train,1.6573,0.1828
215,train,2.7185,0.7364
216,train,1.8464,0.2747
217,train,1.9149,0.3114
218,train,2.6620,0.7141
219,train,2.6160,0.6936
220,test,3.7598,0.9552
221,val,1.6046,0.1601
222,train,1.8237,0.2615
223,test,2.7310,0.7421
224,train,1.7115,0.2043
225,test,4.0635,0.9754
226,train,2.6675,0.7162
227,train,3.7970,0.9588
228,train,2.3901,0.5792
229,test,3.1613,0.8731
230,train,2.2942,0.5279
231,train,2.5730,0.6721
232,train,1.7640,0.2321
233,train,2.4335,0.6014
234,train,1.6728,0.1887
235,train,2.8837,0.7946
236,train,1.1450,0.0344
237,train,1.7699,0.2352
238,train,2.1532,0.4456
239,train,3.4750,0.9264
240,train,1.7591,0.2289
241,test,3.2045,0.8829
242,test,3.2577,0.8917
243,train,2.1243,0.4289
244,val,3.4703,0.9261
245,train,3.3601,0.9095
246,train,2.1505,0.4442
247,val,4.1979,0.9807
248,train,3.1275,0.8649
249,train,1.0755,0.0255
250,val,3.4864,0.9274
251,train,2.3622,0.5648
252,train,2.0985,0.4150
253,val,2.6237,0.6968
254,train,1.9345,0.3227
255,train,2.1218,0.4280
256,train,3.0993,0.8587
257,train,2.2352,0.4970
258,train,2.8078,0.7690
259,train,1.8704,0.2872
260,train,1.5558,0.1412
261,train,1.9164,0.3126
262,train,3.6247,0.9431
263,train,2.1543,0.4466
264,train,1.2114,0.0448
265,train,1.3644,0.0807
266,train,2.2579,0.5081
267,train,1.7587,0.2288
268,train,1.6480,0.1785
269,train,2.6137,0.6921
270,train,0.9656,0.0137
271,train,2.3781,0.5724
272,test,2.5173,0.6435
273,train,1.4253,0.0959
274,train,2.6299,0.6995
275,val,1.6972,0.1979
276,val,2.4386,0.6038
277,train,2.3427,0.5541
278,val,3.7830,0.9574
279,test,2.8094,0.7696
280,train,2.6949,0.7274
281,val,4.3694,0.9859
282,train,1.9486,0.3304
283,train,3.0359,0.8429
284,train,1.9144,0.3110
285,train,2.4001,0.5852
286,train,2.1621,0.4531
287,val,4.0589,0.9752
288,train,2.4554,0.6120
289,test,2.3997,0.5847
290,train,0.9647,0.0136
291,train,3.8515,0.9630
292,test,2.3497,0.5580
293,train,2.2319,0.4954
294,train,2.9569,0.8191
295,test,3.4496,0.9229
296,train,3.0459,0.8458
297,train,1.7801,0.2395
298,val,4.1504,0.9794
299,test,2.0930,0.4115
300,train,2.0249,0.3721
301,val,2.7169,0.7355
302,val,2.4205,0.5946
303,test,2.5187,0.6443
304,train,2.1890,0.4710
305,train,3.3453,0.9071
306,train,2.5522,0.6605
307,train,1.9882,0.3510
308,test,4.5471,0.9898
309,train,2.6012,0.6867
310,val,3.3171,0.9024
311,train,1.3786,0.0840
312,train,1.2769,0.0581
313,train,1.5107,0.1248
314,train,2.5150,0.6422
315,train,1.9591,0.3356
316,train,2.4839,0.6268
317,train,1.7163,0.2060
318,train,2.8431,0.7816
319,val,2.4640,0.6162
320,train,2.4634,0.6160
321,test,3.4762,0.9266
322,train,1.8406,0.2713
323,train,2.0686,0.3972
324,train,2.9238,0.8095
325,train,2.3402,0.5528
326,train,2.1136,0.4234
327,train,1.7376,0.2168
328,val,3.0742,0.8525
329,train,1.8140,0.2562
330,test,3.6115,0.9419
331,train,1.5327,0.1329
332,train,1.3031,0.0647
333,train,3.9611,0.9702
334,test,3.2347,0.8881
335,train,2.2144,0.4844
336,train,1.8526,0.2788
337,test,3.1699,0.8749
338,test,2.6269,0.6985
339,test,2.4946,0.6313
340,test,2.4593,0.6141
341,val,2.0433,0.3832
342,train,1.4076,0.0908
343,train,2.7411,0.7449
344,train,2.6553,0.7116
345,train,2.5662,0.6686
346,train,2.6606,0.7136
347,test,2.7619,0.7531
348,train,2.5939,0.6829
349,test,1.9948,0.3548
350,val,3.2188,0.8853
351,test,2.8196,0.7730
352,train,1.7495,0.2233
353,train,2.8211,0.7736
354,train,2.2678,0.5136
355,train,1.8927,0.3002
356,val,2.6396,0.7040
357,train,1.8610,0.2828
358,train,2.5005,0.6351
359,train,2.6081,0.6896
360,train,1.2906,0.0614
361,val,2.9828,0.8284
362,train,1.8229,0.2613
363,test,2.3916,0.5800
364,train,1.7579,0.2283
365,train,2.2021,0.4784
366,val,2.8409,0.7811
367,train,1.7192,0.2076
368,train,1.4058,0.0905
369,train,2.2352,0.4970
370,val,3.1563,0.8718
371,test,3.2333,0.8879
372,val,3.8468,0.9626
373,val,4.6191,0.9907
374,train,2.2957,0.5287
375,train,1.1892,0.0417
376,val,3.1206,0.8639
377,train,1.1141,0.0301
378,train,1.2409,0.0498
379,test,3.0000,0.8328
380,train,2.5402,0.6549
381,train,1.9249,0.3178
382,train,2.6058,0.6886
383,test,2.7622,0.7533
384,val,2.4900,0.6294
385,train,1.0950,0.0281
386,train,1.4905,0.1168
387,train,2.3754,0.5710
388,train,2.1545,0.4469
389,train,2.7569,0.7504
390,val,2.2386,0.4987
391,train,3.4598,0.9243
392,train,1.6753,0.1891
393,train,2.1822,0.4669
394,train,1.9369,0.3240
395,train,2.0276,0.3740
396,test,2.1085,0.4210
397,train,0.8109,0.0048
398,train,2.1869,0.4698
399,train,2.0209,0.3696
400,train,2.9019,0.8013
401,train,0.9538,0.0126
402,train,2.4122,0.5900
403,train,3.4195,0.9184
404,train,2.4224,0.5958
405,train,2.3378,0.5513
406,train,1.4271,0.0965
407,train,2.5443,0.6569
408,train,1.9235,0.3168
409,train,1.4671,0.1091
410,train,1.5813,0.1513
411,train,2.0374,0.3802
412,train,1.9176,0.3133
413,train,1.8330,0.2671
414,train,2.3489,0.5576
415,train,2.4979,0.6332
416,train,2.1742,0.4624
